TR,t_ms,cal_sys,cal_gyro,cal_accel,cal_mag,euler_h,euler_r,euler_p,acc_gx,acc_gy,acc_gz,lin_ax,lin_ay,lin_az,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,bmp_ok,temp_C,press_hPa,alt_m,lora_tx_done,lora_ack_ok
TR,2482,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,31.23,940.5,596.1,1,0
TR,2742,0,3,0,0,327.67,0.62,4.81,0.12,-0.8,9.33,-0.01,0.04,-0.45,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.24,940.5,596.2,1,0
TR,3004,0,3,0,0,327.67,0.62,4.81,0.11,-0.8,9.33,0.0,0.05,-0.44,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.25,940.5,596.3,1,0
TR,3264,0,3,0,0,327.67,0.62,4.81,0.1,-0.8,9.31,0.0,0.04,-0.43,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.27,940.5,596.3,1,0
TR,3524,0,3,0,0,327.67,0.62,4.81,0.11,-0.77,9.29,-0.01,0.01,-0.44,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.28,940.5,596.4,1,0
TR,3786,0,3,0,0,327.67,0.62,4.81,0.11,-0.8,9.32,0.0,0.02,-0.44,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.29,940.5,596.4,1,0
TR,4046,0,3,0,0,327.67,0.62,4.81,0.09,-0.77,9.31,-0.01,0.05,-0.45,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.3,940.5,596.5,1,0
TR,4306,0,3,0,0,327.67,0.62,4.81,0.11,-0.8,9.32,0.0,0.02,-0.44,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.31,940.5,596.4,1,0
TR,4567,0,3,0,0,327.67,0.62,4.81,0.1,-0.79,9.34,0.0,0.02,-0.42,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.32,940.5,596.5,1,0
TR,4829,0,3,0,0,327.67,0.62,4.81,0.11,-0.78,9.31,0.0,0.04,-0.45,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.32,940.5,596.4,1,0
TR,5089,0,3,0,0,327.67,0.62,4.81,0.09,-0.79,9.3,-0.01,0.03,-0.46,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.33,940.5,596.3,1,0
TR,5357,0,3,0,0,327.67,0.62,4.81,0.12,-0.8,9.34,0.01,0.01,-0.42,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.34,940.5,596.4,1,0
TR,5615,0,3,0,0,327.67,0.62,4.81,0.09,-0.81,9.34,-0.01,0.03,-0.44,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.34,940.5,596.3,1,0
TR,5875,0,3,0,0,327.67,0.62,4.81,0.1,-0.79,9.33,-0.01,0.03,-0.43,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.35,940.5,596.3,1,0
TR,6135,0,3,0,0,327.67,0.62,4.81,0.11,-0.8,9.31,0.0,0.01,-0.45,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.35,940.5,596.4,1,0
TR,6395,0,3,0,0,327.67,0.62,4.81,0.1,-0.78,9.33,0.0,0.04,-0.43,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.36,940.5,596.4,1,0
TR,6656,0,3,0,0,327.67,0.62,4.81,0.1,-0.79,9.31,-0.01,0.03,-0.45,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.36,940.5,596.4,1,0
TR,6914,0,3,0,0,327.67,0.62,4.81,0.09,-0.78,9.29,-0.01,0.04,-0.47,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.37,940.5,596.5,1,0
TR,7174,0,3,0,0,327.67,0.62,4.81,0.1,-0.79,9.33,-0.01,0.02,-0.43,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.37,940.4,596.5,1,0
TR,7434,0,3,0,0,327.67,0.62,4.81,0.11,-0.78,9.33,0.0,0.04,-0.43,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.38,940.5,596.5,1,0
TR,7694,0,3,0,0,327.67,0.62,4.81,-0.02,-0.62,9.28,-0.13,0.2,-0.48,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.38,940.5,596.5,1,0
TR,7958,0,3,0,0,0.0,0.62,4.81,0.14,-0.77,9.33,0.01,0.0,-0.46,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.38,940.5,596.5,1,0
TR,8216,0,3,0,0,0.0,0.62,4.81,0.22,-1.03,9.24,0.1,-0.2,-0.52,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.38,940.5,596.5,1,0
TR,8476,0,3,0,0,0.0,0.62,4.81,0.09,-0.76,9.34,-0.02,0.06,-0.42,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.39,940.5,596.4,1,0
TR,8736,0,3,0,0,327.67,0.62,4.81,0.09,-0.76,9.34,-0.02,0.06,-0.42,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.39,940.5,596.5,1,0
TR,8996,0,3,0,0,327.67,0.62,4.81,0.11,-0.8,9.31,0.0,0.02,-0.45,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.4,940.5,596.4,1,0
TR,9256,0,3,0,0,327.67,0.62,4.81,-0.19,-0.12,9.41,-0.3,0.7,-0.35,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.4,940.5,596.4,1,0
TR,9512,0,3,0,0,327.67,0.62,4.81,0.1,-0.79,9.34,0.0,0.02,-0.42,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.4,940.5,596.4,1,0
TR,9773,0,3,0,0,327.67,0.62,4.81,0.09,-0.79,9.35,-0.01,0.03,-0.4,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.41,940.5,596.4,1,0
TR,10033,0,3,0,0,327.67,0.62,4.81,0.09,-0.78,9.32,-0.01,0.04,-0.44,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.41,940.5,596.4,1,0
TR,10293,0,3,0,0,327.67,0.62,4.81,0.09,-0.78,9.32,-0.02,0.04,-0.44,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.42,940.5,596.4,1,0
TR,10557,0,3,0,0,327.67,0.62,4.81,0.09,-0.79,9.32,-0.01,0.02,-0.44,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.42,940.5,596.5,1,0
TR,10813,0,3,0,0,327.67,0.62,4.81,0.11,-0.8,9.34,0.0,0.02,-0.42,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.43,940.5,596.5,1,0
TR,11073,0,3,0,0,327.67,0.62,4.81,0.22,-1.05,9.29,0.1,-0.23,-0.47,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.43,940.5,596.5,1,0
TR,11333,0,3,0,0,327.67,0.62,4.81,3.58,3.33,10.05,3.47,4.15,0.27,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.44,940.5,596.4,1,0
TR,11595,0,3,0,0,327.67,0.62,4.81,4.75,9.89,-1.57,4.64,10.71,-11.34,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.43,940.5,596.4,1,0
TR,11855,0,3,0,0,327.67,0.62,4.81,2.64,4.76,7.95,2.53,5.59,-1.81,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.45,940.5,596.4,1,0
TR,12113,0,3,0,0,327.67,0.62,4.81,2.09,1.81,10.94,1.99,2.63,1.16,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.45,940.5,596.3,1,0
TR,12374,0,3,0,0,327.67,0.62,4.81,1.65,2.07,9.41,1.81,4.33,-0.76,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.44,940.5,596.5,1,0
TR,12634,0,3,0,0,327.67,0.62,4.81,2.32,4.02,8.59,2.29,4.9,-1.57,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.44,940.4,596.5,1,0
TR,12894,0,3,0,0,0.0,1.06,3.93,3.75,7.41,4.29,3.73,7.92,-5.81,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.45,940.4,596.6,1,0
TR,13158,0,3,0,0,0.0,1.06,3.93,2.97,4.96,12.8,2.78,5.63,3.02,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.45,940.4,596.6,1,0
TR,13416,0,3,0,0,0.0,1.06,3.93,3.58,4.98,8.85,3.4,5.66,-0.92,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.45,940.4,596.6,1,0
TR,13676,0,3,0,0,0.0,1.06,3.93,2.28,5.78,4.69,2.09,6.46,-5.07,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.46,940.4,596.5,1,0
TR,13936,0,3,0,0,0.0,1.06,3.93,-4.36,7.83,6.74,-4.54,8.5,-3.03,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.46,940.5,596.5,1,0
TR,14196,0,3,0,0,0.0,1.06,3.93,1.96,2.36,9.66,1.77,3.05,-0.11,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.46,940.5,596.4,1,0
TR,14458,0,3,0,0,0.0,1.06,3.93,1.26,4.65,7.32,1.07,5.33,-2.46,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.47,940.4,596.5,1,0
TR,14716,0,3,0,0,0.0,1.06,3.93,2.04,-3.41,3.31,1.86,-2.74,-6.46,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.47,940.5,596.5,1,0
TR,14977,0,3,0,0,0.0,1.06,3.93,8.27,-1.73,2.11,7.72,-1.04,-6.56,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.46,940.4,596.5,1,0
TR,15237,0,3,0,0,0.0,1.06,3.93,9.78,-1.69,0.07,10.82,-0.97,-10.14,0.0,0.0,0.0,0.1,-0.1,0.0,1,31.46,940.4,596.6,1,0
